Training Start:Mon, 03 Jul 2023 12:02:08 +0000

Generative Model Training Start:Mon, 03 Jul 2023 12:02:09 +0000
U->T 62.10%  S->T 75.33%  H 68.08%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
GZSL Softmax:
U->T 64.44%  S->T 72.33%  H 68.16%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
Iter-[40600/80740]; loss: 8.392; kl:0.168; p_loss:0.004; rec:0.009; tc:-0.001; gamma:0.110;
GZSL Softmax:
U->T 61.45%  S->T 75.19%  H 67.63%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
GZSL Softmax:
U->T 63.86%  S->T 71.43%  H 67.44%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
Iter-[40800/80740]; loss: 8.033; kl:0.159; p_loss:0.004; rec:0.008; tc:0.830; gamma:0.110;
GZSL Softmax:
U->T 63.57%  S->T 72.49%  H 67.74%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
GZSL Softmax:
U->T 60.28%  S->T 76.64%  H 67.48%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
Iter-[41000/80740]; loss: 9.457; kl:0.170; p_loss:0.006; rec:0.009; tc:-0.002; gamma:0.111;
GZSL Softmax:
U->T 59.51%  S->T 78.15%  H 67.57%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
GZSL Softmax:
U->T 62.52%  S->T 72.74%  H 67.24%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
Iter-[41200/80740]; loss: 7.635; kl:0.183; p_loss:0.003; rec:0.008; tc:-0.002; gamma:0.111;
GZSL Softmax:
U->T 61.79%  S->T 74.74%  H 67.65%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
GZSL Softmax:
U->T 59.97%  S->T 75.08%  H 66.68%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
Iter-[41400/80740]; loss: 8.034; kl:0.188; p_loss:0.004; rec:0.009; tc:0.832; gamma:0.112;
GZSL Softmax:
U->T 61.76%  S->T 74.29%  H 67.45%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
GZSL Softmax:
U->T 62.21%  S->T 75.11%  H 68.06%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
Iter-[41600/80740]; loss: 8.564; kl:0.205; p_loss:0.002; rec:0.009; tc:-0.004; gamma:0.113;
GZSL Softmax:
U->T 62.99%  S->T 71.97%  H 67.18%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
GZSL Softmax:
U->T 60.51%  S->T 76.18%  H 67.45%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
Iter-[41800/80740]; loss: 8.276; kl:0.185; p_loss:0.003; rec:0.009; tc:-0.002; gamma:0.113;
GZSL Softmax:
U->T 60.00%  S->T 75.47%  H 66.85%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
GZSL Softmax:
U->T 58.93%  S->T 77.19%  H 66.84%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
Iter-[42000/80740]; loss: 10.265; kl:0.238; p_loss:0.004; rec:0.010; tc:0.832; gamma:0.114;
GZSL Softmax:
